protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,composite_score,stability_proba,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life
A6NI61,histidine,trehalose,polysorbate 80,glycine,6.0,4,50.0,200.0,0.08,200.0,0.5992091,0.07800778,0.115068965,0.42001036,0.021213168,0.82586783,0.8224768
P18075,histidine,sorbitol,poloxamer 188,methionine,6.5,4,30.0,300.0,0.05,10.0,0.5923004,0.19085766,0.32970616,0.07406688,0.27174073,0.7704024,0.7459023
P01584,histidine,trehalose,polysorbate 80,methionine,7.4,4,10.0,300.0,0.08,10.0,0.59157497,0.06179323,0.06316797,0.203037,0.3526206,0.85310763,0.8210608
O15467,citric acid,sucrose,polysorbate 20,methionine,5.0,4,30.0,200.0,0.045,5.5,0.5903066,0.08485543,0.06617172,0.13780136,0.44906294,0.84043175,0.80098367
A6NI61,histidine,mannitol,polysorbate 20,arginine,6.5,25,50.0,300.0,0.045,50.0,0.58943486,0.1077627,0.17879294,0.4223561,0.024584634,0.8051265,0.78273565
P01583,histidine,sucrose,polysorbate 80,none,6.5,25,30.0,200.0,0.01,0.0,0.5827892,0.044658754,0.08013699,0.20356959,0.34113762,0.8479961,0.7985121
O95393,citric acid,trehalose,polysorbate 20,none,6.5,25,10.0,300.0,0.08,0.0,0.58044064,0.085203275,0.06580428,0.34951782,0.26178783,0.8044246,0.7814525
O95393,histidine,sucrose,polysorbate 80,proline,7.0,25,50.0,300.0,0.045,100.0,0.5786501,0.069968656,0.06607794,0.24993582,0.36630717,0.8258217,0.7887661
P01574,histidine,sucrose,polysorbate 20,arginine,6.5,4,10.0,300.0,0.01,100.0,0.578196,0.031821005,-0.0061705937,0.25926986,0.40170544,0.84278363,0.80288535
P01574,citric acid,sucrose,polysorbate 80,methionine,5.0,4,50.0,300.0,0.08,1.0,0.5781787,0.06262155,0.054174345,0.21775846,0.4099774,0.83003664,0.7976406
O00175,citric acid,sorbitol,polysorbate 80,methionine,5.0,25,10.0,200.0,0.08,10.0,0.5763947,0.123975605,0.21265917,0.371183,0.12513934,0.7827246,0.77546924
O00175,citric acid,sorbitol,polysorbate 20,methionine,5.0,4,30.0,200.0,0.01,1.0,0.57517433,0.10312267,0.21099967,0.34761998,0.11871498,0.78508973,0.77248394
P08700,histidine,trehalose,polysorbate 20,arginine,5.5,25,30.0,300.0,0.045,50.0,0.5749814,0.06990877,-0.00032587745,0.21316625,0.52315587,0.8326693,0.7898293
P01574,citric acid,trehalose,polysorbate 20,methionine,5.0,4,30.0,200.0,0.045,1.0,0.57267725,0.06262734,0.06811311,0.22434148,0.41390792,0.8243162,0.79203284
O00175,citric acid,trehalose,polysorbate 20,arginine,5.5,25,10.0,200.0,0.01,150.0,0.57198083,0.0054558404,0.004434446,0.50339705,0.118535936,0.8220619,0.82423204
P01583,acetic acid,sucrose,polysorbate 20,methionine,6.0,4,10.0,200.0,0.045,5.5,0.570039,0.034011282,0.08774697,0.14448798,0.41888133,0.8163874,0.7886461
P01574,histidine,trehalose,polysorbate 80,methionine,7.4,25,10.0,200.0,0.01,1.0,0.5673248,0.016815279,0.06129468,0.11528365,0.50753325,0.8523936,0.8020527
O15467,histidine,trehalose,polysorbate 20,glycine,5.0,25,10.0,100.0,0.01,200.0,0.5609074,0.04225911,0.08460235,0.19274414,0.44237933,0.81314105,0.76894975
P01583,histidine,sucrose,poloxamer 188,glycine,6.0,4,30.0,300.0,0.03,50.0,0.5602802,0.048228737,0.16525982,0.20147347,0.33281147,0.8003991,0.7789284
O15467,citric acid,trehalose,polysorbate 80,arginine,6.5,25,10.0,200.0,0.045,50.0,0.558239,0.020631544,0.005289068,0.28976464,0.4402089,0.8210657,0.78887
P01574,histidine,trehalose,polysorbate 20,proline,6.0,25,10.0,200.0,0.01,150.0,0.5572339,0.030969653,0.068989,0.25756013,0.40314743,0.815699,0.76984257
P01583,histidine,sucrose,polysorbate 80,proline,7.4,4,10.0,200.0,0.08,100.0,0.5570521,0.005497071,0.07209336,0.20118299,0.4257976,0.8310668,0.7841727
O00175,citric acid,trehalose,polysorbate 80,proline,5.5,4,50.0,200.0,0.045,100.0,0.55317754,0.0046695196,0.06396269,0.50602007,0.11695982,0.79180694,0.7849026
A6BM72,histidine,trehalose,poloxamer 188,methionine,6.5,4,10.0,200.0,0.03,10.0,0.55228287,0.24912421,0.3138097,0.47898284,0.18458448,0.7059152,0.67910635
O15467,acetic acid,sucrose,polysorbate 80,methionine,6.0,25,10.0,100.0,0.045,10.0,0.55123687,0.03167084,0.08125397,0.14327626,0.53939444,0.81533676,0.7617297
O15467,histidine,mannitol,polysorbate 80,arginine,6.0,4,30.0,200.0,0.01,50.0,0.5505202,0.06231568,0.14125846,0.18841559,0.45761982,0.7988918,0.7429739
P21583,citric acid,trehalose,polysorbate 20,glycine,5.0,4,30.0,200.0,0.01,125.0,0.54636204,0.03427878,0.11381374,0.32067087,0.33611235,0.79621196,0.75853604
P01570,histidine,trehalose,polysorbate 80,arginine,5.0,25,50.0,200.0,0.08,150.0,0.5453203,0.034319174,0.018395253,0.51604605,0.26272756,0.7805056,0.76887447
P21583,histidine,trehalose,polysorbate 80,glycine,6.5,4,50.0,100.0,0.01,200.0,0.54257584,0.06535153,0.21577045,0.22908574,0.34040162,0.76437795,0.7378175
P01583,histidine,sorbitol,polysorbate 20,methionine,7.0,25,50.0,100.0,0.045,5.5,0.540922,0.010016573,0.24840875,0.05582049,0.42506063,0.81166553,0.7596215
P21583,citric acid,mannitol,polysorbate 20,methionine,5.0,25,30.0,200.0,0.08,1.0,0.53431314,0.040704094,0.26081157,0.17812267,0.34442726,0.77341944,0.7326755
O15520,histidine,sucrose,polysorbate 20,proline,6.5,4,50.0,200.0,0.08,150.0,0.5330125,0.012679961,0.07223868,0.3224901,0.4299709,0.79593974,0.7426888
P08700,citric acid,trehalose,polysorbate 80,arginine,6.0,4,50.0,200.0,0.01,100.0,0.532689,0.020948686,0.0258034,0.30902672,0.52429307,0.7924659,0.75386167
P21583,phosphoric acid,trehalose,polysorbate 80,methionine,7.0,25,30.0,100.0,0.045,10.0,0.53178,0.005811002,0.10026024,0.18041246,0.5287334,0.79505056,0.7440603
P21583,histidine,mannitol,polysorbate 80,arginine,7.0,25,50.0,300.0,0.08,100.0,0.531556,0.011433387,0.1356127,0.22555,0.44047803,0.79228175,0.7262089
P08700,citric acid,sorbitol,polysorbate 80,methionine,5.0,4,50.0,200.0,0.01,5.5,0.5297495,0.08585671,0.22923379,0.15378486,0.5122028,0.761304,0.7108355
O15520,citric acid,trehalose,polysorbate 80,methionine,7.4,4,10.0,100.0,0.045,5.5,0.5196839,0.015471141,0.0777812,0.2781761,0.5372518,0.7708915,0.74558485
A6BM72,histidine,sucrose,polysorbate 20,glycine,6.5,25,30.0,200.0,0.01,50.0,0.5186065,0.18066114,0.22033477,0.6432982,0.18461521,0.67313784,0.6338286
O15520,histidine,sorbitol,polysorbate 20,arginine,5.0,4,10.0,200.0,0.045,100.0,0.51852226,0.024860479,0.14355458,0.3143349,0.4322857,0.7747872,0.71099997
O15520,histidine,sucrose,polysorbate 80,none,7.4,25,30.0,300.0,0.08,0.0,0.51661414,0.0036874167,0.055578895,0.32476735,0.5257341,0.7902397,0.7132584
O15520,histidine,sucrose,polysorbate 80,none,7.4,25,30.0,300.0,0.045,0.0,0.5163477,0.0039113294,0.053512707,0.3263494,0.5273166,0.7899636,0.7086436
P01570,histidine,mannitol,polysorbate 20,arginine,5.5,4,30.0,200.0,0.045,50.0,0.5128968,0.032421578,0.15116182,0.50051796,0.26366183,0.74853927,0.714975
P01570,histidine,sucrose,poloxamer 188,methionine,6.0,4,10.0,100.0,0.01,1.0,0.5104594,0.04154363,0.24309462,0.39277288,0.26491454,0.7265809,0.72562516
P01570,citric acid,trehalose,polysorbate 80,proline,5.5,4,10.0,300.0,0.08,150.0,0.49786583,0.0056369137,0.074418515,0.6128343,0.2693482,0.7219263,0.7019375
A6BM72,histidine,trehalose,polysorbate 20,glycine,7.4,25,30.0,200.0,0.045,125.0,0.4957978,0.061796952,0.11647863,0.64653975,0.2909379,0.71770704,0.6704006
P01570,histidine,sorbitol,poloxamer 188,methionine,5.5,4,10.0,300.0,0.05,5.5,0.49503523,0.027382342,0.318463,0.35647172,0.26333696,0.72501165,0.6946535
A6BM72,histidine,sucrose,polysorbate 80,none,7.4,25,10.0,100.0,0.08,0.0,0.49233335,0.06636786,0.13641408,0.63763654,0.29674393,0.70499027,0.6822864
A6BM72,citric acid,mannitol,polysorbate 20,methionine,7.0,25,50.0,100.0,0.08,1.0,0.47025892,0.08137798,0.27867123,0.60025185,0.29714966,0.68651223,0.6642633
