protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,composite_score,stable_derived,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life
P15514,histidine,trehalose,poloxamer 188,proline,5.5,4,10.0,300.0,0.05,50.0,0.7864,1,0.1671,0.2474,0.2658,0.8002,0.7752
O15467,acetic acid,trehalose,polysorbate 80,arginine,5.0,25,10.0,300.0,0.01,50.0,0.785,1,-0.0045,0.2855,0.5353,0.8084,0.7629
P01583,histidine,sucrose,poloxamer 188,glycine,6.0,4,30.0,300.0,0.03,50.0,0.7836,1,0.1671,0.2014,0.326,0.7996,0.7764
O15467,acetic acid,sucrose,polysorbate 80,methionine,6.0,25,10.0,100.0,0.045,10.0,0.7815,1,0.083,0.149,0.5422,0.8139,0.767
O00175,citric acid,sorbitol,polysorbate 20,methionine,5.0,4,30.0,200.0,0.01,1.0,0.7807,1,0.2076,0.3457,0.1153,0.7889,0.7723
P01570,histidine,trehalose,polysorbate 80,arginine,5.0,25,50.0,200.0,0.08,150.0,0.7793,1,0.0206,0.5219,0.2639,0.782,0.7642
P01584,histidine,mannitol,polysorbate 20,arginine,6.5,25,30.0,300.0,0.01,100.0,0.7771,1,0.1369,0.3463,0.2483,0.7836,0.7645
P21583,citric acid,trehalose,polysorbate 20,glycine,5.0,4,30.0,200.0,0.01,125.0,0.7728,1,0.1139,0.3194,0.34,0.7925,0.7567
P08700,citric acid,trehalose,polysorbate 80,arginine,6.0,4,50.0,200.0,0.01,100.0,0.771,1,0.0209,0.3089,0.5208,0.7963,0.7481
O15520,histidine,sucrose,polysorbate 20,proline,6.5,4,50.0,200.0,0.08,150.0,0.7691,1,0.0717,0.3173,0.4268,0.7938,0.7389
P21583,phosphoric acid,trehalose,polysorbate 80,methionine,7.0,25,30.0,100.0,0.045,10.0,0.7672,1,0.0993,0.1781,0.5354,0.7958,0.7527
P01583,histidine,sorbitol,polysorbate 20,methionine,7.0,25,50.0,100.0,0.045,5.5,0.7657,1,0.244,0.0548,0.428,0.8096,0.7618
P21583,histidine,mannitol,polysorbate 80,arginine,7.0,25,50.0,300.0,0.08,100.0,0.7627,1,0.1364,0.2205,0.4396,0.7939,0.7336
P21583,histidine,trehalose,polysorbate 80,glycine,6.5,4,50.0,100.0,0.01,200.0,0.7544,1,0.2107,0.226,0.3347,0.7762,0.7387
P21583,acetic acid,trehalose,polysorbate 20,arginine,7.4,4,10.0,100.0,0.045,100.0,0.7537,1,0.0421,0.3226,0.5322,0.7761,0.73
P08700,phosphoric acid,sucrose,polysorbate 80,arginine,5.0,4,50.0,300.0,0.045,50.0,0.752,1,-0.0016,0.3175,0.6131,0.7682,0.7234
O15520,citric acid,trehalose,polysorbate 80,methionine,7.4,4,10.0,100.0,0.045,5.5,0.7506,1,0.0781,0.2764,0.5399,0.7783,0.7446
O15520,citric acid,trehalose,polysorbate 80,glycine,5.0,4,30.0,300.0,0.01,125.0,0.7496,1,0.0576,0.4114,0.4343,0.7657,0.7405
O15520,citric acid,trehalose,polysorbate 20,glycine,5.0,4,50.0,200.0,0.08,200.0,0.7476,1,0.0671,0.4143,0.4214,0.7641,0.7363
O15520,histidine,sucrose,polysorbate 80,none,7.4,25,30.0,300.0,0.08,0.0,0.7475,1,0.0539,0.326,0.5357,0.7852,0.7093
P01570,histidine,mannitol,polysorbate 20,arginine,5.5,4,30.0,200.0,0.045,50.0,0.7272,1,0.1517,0.5042,0.2624,0.7444,0.7198
P01570,citric acid,trehalose,polysorbate 80,proline,5.5,4,10.0,300.0,0.08,150.0,0.7262,1,0.0739,0.6117,0.2683,0.7183,0.7033
P01570,citric acid,sucrose,polysorbate 20,none,5.5,25,30.0,200.0,0.01,0.0,0.7197,1,0.0914,0.6138,0.2654,0.7194,0.6961
P01570,histidine,sucrose,poloxamer 188,methionine,6.0,4,10.0,100.0,0.01,1.0,0.7165,1,0.2341,0.3905,0.2647,0.7191,0.7159
A6BM72,histidine,trehalose,polysorbate 20,glycine,7.4,25,30.0,200.0,0.045,125.0,0.6962,1,0.1196,0.6469,0.2883,0.7196,0.6721
A6BM72,histidine,sucrose,polysorbate 80,none,7.4,25,10.0,100.0,0.08,0.0,0.6871,1,0.1425,0.6389,0.2977,0.7106,0.6765
A6BM72,histidine,trehalose,poloxamer 188,methionine,6.5,4,10.0,200.0,0.03,10.0,0.6804,1,0.3062,0.4965,0.1863,0.7083,0.6785
A6BM72,histidine,sucrose,polysorbate 20,glycine,6.5,25,30.0,200.0,0.01,50.0,0.6763,1,0.2167,0.6338,0.1844,0.6741,0.647
A6BM72,citric acid,sucrose,polysorbate 20,proline,7.4,4,30.0,300.0,0.01,50.0,0.6701,1,0.1084,0.7565,0.2863,0.6838,0.6407
